place_id,source,kind,rating,review_count,url,summary_or_quote,author_alias,quoted_at,lang,last_checked
1,naver_map,platform,5.0,14,https://pcmap.place.naver.com/place/1654579915/review/visitor,,,,,2026-08-08
1,local_owner,local_owner,,,,벌써 몇번째인지 모르겠어요~ 늘 갈때마다 저리 싱글벙글이예요… 선생님들 항상 감사해요,"소형견 견주, 제주시",,ko,
2,naver_map,platform,4.61,48,https://pcmap.place.naver.com/place/1815395828/review/visitor,,,,,2026-08-08
2,local_owner,local_owner,,,,엄청 낯을 가리는 강아지인데도… 유치원을 너무너무 좋아한답니다… 왕복 20km를 다니고 있어요,유치원 단골 견주,,ko,
2,local_owner,local_owner,,,,"45일 간격으로 미용하는데, 제주 아니, 전국에서 가장 합리적인 가격으로 아주 잘하시고, 친절하십니다",미용 단골 견주,,ko,
3,naver_map,platform,4.9,31,https://pcmap.place.naver.com/place/1460408016/review/visitor,,,,,2026-08-08
3,local_owner,local_owner,,,,멍더랜드에는 실내와 잔디가 있어서 아이들이 신나게 뛰기 좋아요! 선생님들도 사랑으로 아이들을 케어해주셔서 벌써 율무가 다닌지 2년반이 넘었어요,2년차 단골 견주,,ko,
4,naver_map,platform,5.0,11,https://pcmap.place.naver.com/place/2090591693/review/visitor,,,,,2026-08-08
4,local_owner,local_owner,,,,이번에 온가족이 여행을 가게되서 놀멍에 호텔링을 하게되었습니다… 놀멍 선생님들이 너무 잘 보살펴주셔서 첫날부터 바로 마음이 놓였어요,호텔링 이용 견주,,ko,
5,naver_map,platform,4.75,25,https://pcmap.place.naver.com/place/1769253582/review/visitor,,,,,2026-08-08
5,local_owner,local_owner,,,,급하게 맡길 곳이 필요했는데 사장님 24시간 계시고… 잘 돌봐주셔서 감사합니다,함덕 여행객,,ko,
6,naver_map,platform,4.69,24,https://pcmap.place.naver.com/place/1243516961/review/visitor,,,,,2026-08-08
6,local_owner,local_owner,,,,"4박5일 여행 일정 때문에 6일 호텔링 이용했습니다… 사장님께서 성향체크부터, 낯설지 않도록 적응하게 도와주시고, 자는시간·먹는거·노는사진 체크해서 사진보내주셨어요",장기 호텔링 견주,,ko,
7,naver_map,platform,,53,https://pcmap.place.naver.com/place/1951173139/review/visitor,,,,,2026-08-08
7,local_owner,local_owner,,,,미용 트라우마로 미용 한번 하고 오면 일주일내내 밥을 잘 안먹을 정도로 엄청 고생했는데~ 앙리젤을 알게된 후 미용도 잘하고… 벌써 n년차 단골입니다,노형동 단골 견주,,ko,
8,naver_map,platform,4.92,80,https://pcmap.place.naver.com/place/1657640918/review/visitor,,,,,2026-08-08
8,local_owner,local_owner,,,,2년넘게 다니고 있습니다 24시간이라 덕분에 스케줄 근무시 편하게 일하면서 꾸르 맡길 수 있어 넘 좋아요,교대근무 견주,,ko,
9,naver_map,platform,,10,https://pcmap.place.naver.com/place/1754202114/review/visitor,,,,,2026-08-08
9,local_owner,local_owner,,,,여행중에 애견동반이 안되는곳이 있어서 데이케어를 맡기게 됬는데 원장님이 친절하시고 강아지를 사랑하는게 느껴졌어요,여행객 견주,,ko,
10,naver_map,platform,,67,https://pcmap.place.naver.com/place/2096926396/review/visitor,,,,,2026-08-08
10,local_owner,local_owner,,,,사장님 세상 친절하고 야외공간에 불멍 존도 있어서 감성적이고 신나게 놀다왔어요,방문 견주,,ko,
11,naver_map,platform,4.56,107,https://pcmap.place.naver.com/place/1940904888/review/visitor,,,,,2026-08-08
11,local_owner,local_owner,,,,동글동글 귀엽게 잘라주셔서 많은 분들이 이뻐해주고 있어요… 꼬망스에서는 너무 타이트하게 미용하지 않으셔서,미용 단골 견주,,ko,
12,naver_map,platform,,6,https://pcmap.place.naver.com/place/1916450066/review/visitor,,,,,2026-08-08
12,local_owner,local_owner,,,,"제주여행에서 시간계산을 잘못해서 급하게 유치원 하루 맡겼는데, 너무 친절하시고 중간중간 영상 사진도 너무 좋았어요… 가격도 짱 착했어요",여행객 견주,,ko,
13,naver_map,platform,4.83,164,https://pcmap.place.naver.com/place/1604434591/review/visitor,,,,,2026-08-08
13,local_owner,local_owner,,,,미용솜씨야 말모인데 강아지 어디가 안좋은지 얘기해주시는데 그게 너무 감사해요… 이런 애정있는 애견미용실 본적이 없어요,연동 단골 견주,,ko,
14,naver_map,platform,4.91,147,https://pcmap.place.naver.com/place/1344320680/review/visitor,,,,,2026-08-08
14,local_owner,local_owner,,,,미용도 너무잘해주시고 친절하셔서… 제주도 고양이 미용 꼭 여기서 하세요!!,고양이 집사,,ko,
15,naver_map,platform,5.0,93,https://pcmap.place.naver.com/place/1805812926/review/visitor,,,,,2026-08-08
15,local_owner,local_owner,,,,알림장도 꼼꼼하게 보내주시고 케어도 너무 잘 해주셔서 아마 평생 다니지 않을까 싶습니다,도남동 단골 견주,,ko,
16,naver_map,platform,,32,https://pcmap.place.naver.com/place/1268520029/review/visitor,,,,,2026-08-08
16,local_owner,local_owner,,,,애견유치원은 처음인데 상담도 친절하게 잘 해주시고 맞춤으로 케어해주셔서… 호텔링도 예약해놨습니당,유치원 신규 견주,,ko,
17,naver_map,platform,,28,https://pcmap.place.naver.com/place/1265968331/review/visitor,,,,,2026-08-08
17,local_owner,local_owner,,,,포브독은 상담때부터 전문적인 설명과 강아지를 너무 이뻐하시는게 느껴져서 선택했습니다… 아이들이 흥분하지 않는 상태에서 만나게해주시더라고요,행동교정 수강 견주,,ko,
18,naver_map,platform,,3,https://pcmap.place.naver.com/place/1479061383/review/visitor,,,,,2026-08-08
18,local_owner,local_owner,,,,전문적이고 친절히 설명해주셔서 너무 좋았어요,훈련 상담 견주,,ko,
21,naver_map,platform,,3,https://pcmap.place.naver.com/place/2092902734/review/visitor,,,,,2026-08-08
21,local_owner,local_owner,,,,"설 연휴 3박4일 동안 호텔 맡겼는데, 아주 잘 지낸것 같아요. 먹는 것, 싸는 것 등 건강상태 꼼꼼히 봐주시고, 산책까지",연휴 호텔링 견주,,ko,
22,naver_map,platform,,10,https://pcmap.place.naver.com/place/1178876259/review/visitor,,,,,2026-08-08
22,local_owner,local_owner,,,,토리가 5개월도 안되어 간 첫 유치원이라 걱정이 많이했는데… 잘 돌봐주셔서 감사했습니다,"퍼피 견주, 서귀포",,ko,
23,naver_map,platform,4.85,73,https://pcmap.place.naver.com/place/1979286000/review/visitor,,,,,2026-08-08
23,local_owner,local_owner,,,,울 퐁듀 넘 이쁘게 미용 잘해주셨어요~~~ 3개월 기다리느라 털이 많이 길었어서 걱정했는데… 묭실 유목민 이었는데 이제 그루밍제주에 정착하려고요,중문 단골 견주,,ko,
24,naver_map,platform,4.63,23,https://pcmap.place.naver.com/place/1160756296/review/visitor,,,,,2026-08-08
24,local_owner,local_owner,,,,몽블리 펫샵 강아지에 꼭 필요한 물품을 구매하기 좋아요,안덕면 견주,,ko,
25,naver_map,platform,5.0,69,https://pcmap.place.naver.com/place/1050898853/review/visitor,,,,,2026-08-08
25,local_owner,local_owner,,,,제주도에서 여기보다 더 좋은 애견운동장은 없는듯해요,남원읍 견주,,ko,
33,naver_map,platform,4.89,91,https://pcmap.place.naver.com/place/442893274/review/visitor,,,,,2026-08-08
